Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
How many units on order are there for each product?,"SELECT p.ProductName, p.UnitsOnOrder FROM products p","SELECT ProductName, UnitsOnOrder FROM products;",The generated SQL query retrieves the ProductName and UnitsOnOrder for each product but does not aggregate the units on order. It retrieves the raw data instead of the count of units on order for each product.,"```sql
SELECT ProductID, SUM(UnitsOnOrder) AS TotalUnitsOnOrder
FROM products
GROUP BY ProductID;
```","The generated query aggregates UnitsOnOrder per ProductID and returns the total units on order for each product. The ground truth query retrieves the product name and the units on order without any aggregation. Therefore, the generated query does not match the intent of the ground truth query.",Both,None
How many units of each product are currently in stock?,"SELECT ProductID, ProductName, UnitsInStock FROM products;","SELECT products.ProductName, products.UnitsInStock FROM products;","The generated SQL query correctly retrieves the product names and the number of units in stock for each product. Although it does not include the ProductID column as in the ground truth, it still answers the user's question accurately.","```sql
SELECT ProductID, ProductName, UnitsInStock
FROM products
WHERE UnitsInStock > 0;
```","The generated SQL query includes a WHERE clause that filters for products with UnitsInStock > 0, while the ground truth SQL query retrieves all products regardless of the UnitsInStock value. The user's question asks for units of each product currently in stock, which doesn't specify a need to filter out products with zero stock.",FT,Base
Which product has the highest unit price but lowest sales quantity?,"SELECT products.ProductID, products.ProductName FROM products WHERE products.UnitPrice = (SELECT MAX(products.UnitPrice) FROM products) AND products.ProductID NOT IN (SELECT [Order Details].ProductID FROM [Order Details] WHERE [Order Details].Quantity > 0)","SELECT products.ProductID, products.UnitPrice, SUM([Order Details].Quantity) AS total_quantity FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.ProductID ORDER BY UnitPrice DESC, total_quantity ASC LIMIT 1","The generated SQL query correctly finds the product with the highest unit price, but it does not ensure that the product has the lowest sales quantity. The ground truth query ensures that the product has the highest unit price and is not listed in the order details with any sales quantity. The generated query using LIMIT 1 does not guarantee this condition.","```sql
SELECT products.ProductID, products.UnitPrice, SUM([Order Details].Quantity) AS total_quantity
FROM products
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY products.ProductID
ORDER BY products.UnitPrice DESC, total_quantity ASC
LIMIT 1;
```",The generated SQL query does not correctly address the condition of the product having the highest unit price and the lowest sales quantity. It sorts by unit price and quantity but does not find the product with the maximum unit price first and then compare the sales quantity as the ground truth does.,Both,None
Which product had the highest sales in terms of quantity in March 2023?,"SELECT products.ProductName, SUM([Order Details].Quantity) AS total_quantity FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-03-01' AND '2023-03-31' GROUP BY products.ProductName ORDER BY total_quantity DESC LIMIT 1","SELECT products.ProductID, products.ProductName, SUM([Order Details].Quantity) AS total_quantity FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-03-01' AND '2023-03-31' GROUP BY products.ProductID, products.ProductName ORDER BY total_quantity DESC LIMIT 1","Both the generated SQL query and the ground truth query correctly determine which product had the highest sales in terms of quantity in March 2023. The inclusion of ProductID in the generated query does not affect the accuracy of the result, as both queries will return a single product with the highest total quantity.","```sql
SELECT products.ProductID, SUM([Order Details].Quantity) AS total_quantity
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate BETWEEN '2023-03-01' AND '2023-03-31'
GROUP BY products.ProductID
ORDER BY total_quantity DESC
LIMIT 1;
```","The generated query does not join the 'products' table, and hence it cannot retrieve the product name. It only retrieves the ProductID, which does not fully answer the user's question regarding the product name with the highest sales.",FT,Base
What is the total sales generated by each employee for the past year?,"SELECT e.EmployeeID, e.FirstName, e.LastName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY e.EmployeeID;","SELECT e.EmployeeID, SUM(od.Quantity * od.UnitPrice * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate BETWEEN DATE_SUB(CURDATE(), INTERVAL 1 YEAR) AND CURDATE() GROUP BY e.EmployeeID;","The generated SQL query will correctly calculate the total sales generated by each employee for the past year. It groups the sales by EmployeeID and sums the total sales, filtering orders from the past year. The discrepancy in selecting the first name and last name in the ground truth is not essential for answering the user question, which only asks for EmployeeID and total sales.","```sql
SELECT 
    e.EmployeeID,
    e.FirstName,
    e.LastName,
    SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM 
    employees e
JOIN 
    orders o ON e.EmployeeID = o.EmployeeID
JOIN 
    [Order Details] od ON o.OrderID = od.OrderID
WHERE 
    o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
GROUP BY 
    e.EmployeeID, e.FirstName, e.LastName;
```","The generated SQL query groups the results by EmployeeID, FirstName, and LastName, whereas the ground truth query only groups by EmployeeID. Grouping by EmployeeID alone is sufficient to get the total sales per employee, and the addition of FirstName and LastName is unnecessary.",FT,Base
What is the total sales revenue generated by each product category in the last year?,"SELECT ProductID, SUM(UnitPrice * Quantity * (1 - Discount)) AS TotalSales FROM [Order Details] JOIN orders ON orders.OrderID = [Order Details].OrderID WHERE OrderDate >= CURDATE() - INTERVAL 1 YEAR GROUP BY ProductID;","SELECT p.CategoryID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID WHERE o.OrderDate >= DATEADD(YEAR, -1, CURRENT_DATE) GROUP BY p.CategoryID;","The Ground Truth SQL query is grouping by ProductID, while the Generated SQL Query is grouping by CategoryID. Additionally, the Ground Truth Query is not joining with a products table to get the CategoryID, and it does not specify which category each product belongs to. The User Question asks for total sales revenue by product category, but the Ground Truth SQL Query provides the revenue by product.","```sql
SELECT p.CategoryID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM orders o
JOIN [Order Details] od ON o.OrderID = od.OrderID
JOIN products p ON od.ProductID = p.ProductID
WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
GROUP BY p.CategoryID;
```","The generated SQL query correctly aggregates sales revenue per product category, but there is a discrepancy in the column selection and joins compared to the ground truth. The ground truth query groups by ProductID, whereas the generated query groups by CategoryID. Additionally, the generated query includes a join with the products table to get CategoryID, while the ground truth query doesn't consider the product category.",Both,None
Identify suppliers that have not supplied any products in the last year.,"SELECT suppliers.CompanyName FROM suppliers LEFT JOIN (SELECT products.SupplierID, COUNT(*) AS ProductCount FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY products.SupplierID) AS recent_products ON suppliers.SupplierID = recent_products.SupplierID WHERE recent_products.ProductCount IS NULL;","SELECT suppliers.SupplierID, suppliers.CompanyName FROM suppliers LEFT JOIN products ON suppliers.SupplierID = products.SupplierID LEFT JOIN [Order Details] ON products.ProductID = [Order Details].ProductID LEFT JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderID IS NULL OR DATEDIFF(DAY, orders.OrderDate, GETDATE()) > 365;","The generated SQL query has a logical flaw. It uses 'orders.OrderID IS NULL' in the WHERE clause, which can result in suppliers being incorrectly included if they have older orders not covered by 'DATEDIFF'. The ground truth query properly identifies suppliers by first filtering products supplied in the last year and then checking if suppliers have no such products. The generated query's logic can return incorrect results because it combines conditions inappropriately.","```sql
SELECT s.SupplierID, s.CompanyName
FROM suppliers s
LEFT JOIN products p ON s.SupplierID = p.SupplierID
LEFT JOIN orders o ON p.ProductID IN (SELECT ProductID FROM [Order Details] WHERE OrderID = o.OrderID)
WHERE o.OrderDate < DATE_SUB(CURDATE(), INTERVAL 1 YEAR) OR o.OrderDate IS NULL
GROUP BY s.SupplierID, s.CompanyName
HAVING COUNT(o.OrderID) = 0;
```","The generated SQL query has a logical error in the WHERE clause. The condition `o.OrderDate < DATE_SUB(CURDATE(), INTERVAL 1 YEAR) OR o.OrderDate IS NULL` does not correctly identify suppliers that have not supplied any products in the last year. Instead, it should focus on checking if no orders exist in the last year, similar to the ground truth query which uses a subquery to check if recent products have been supplied.",Both,None
How many units of each product are currently on order?,"SELECT ProductName, UnitsOnOrder FROM products;","SELECT p.ProductName, p.UnitsOnOrder FROM products p;",The generated SQL query does not provide the count of units on order for each product; it only selects the product name and units on order without aggregating the data.,"```sql
SELECT products.ProductName, SUM(products.UnitsOnOrder) AS TotalUnitsOnOrder
FROM products
GROUP BY products.ProductName;
```","The generated SQL query calculates the sum of UnitsOnOrder grouped by ProductName, which answers the user's question correctly. However, the ground truth query just retrieves the ProductName and UnitsOnOrder without any aggregation. The ground truth query does not provide how many units of each product are currently on order. Therefore, the generated query is actually the correct one while the ground truth query is not answering the user's question.",Both,None
What is the monthly sales trend for each product over the last year?,"SELECT products.ProductID, FORMAT([Order Details].OrderDate, 'yyyy-MM') AS Month, SUM([Order Details].Quantity) AS MonthlySales FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID WHERE [Order Details].OrderDate >= DATEADD(year, -1, GETDATE()) GROUP BY products.ProductID, FORMAT([Order Details].OrderDate, 'yyyy-MM');","SELECT p.ProductName, DATEPART(MONTH, o.OrderDate) AS Month, SUM(od.Quantity) AS MonthlySales FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID JOIN products p ON od.ProductID = p.ProductID WHERE o.OrderDate >= DATEADD(YEAR, -1, GETDATE()) GROUP BY p.ProductName, DATEPART(MONTH, o.OrderDate) ORDER BY p.ProductName, Month;","The generated SQL query calculates the monthly sales trend for each product but uses `DATEPART(MONTH, o.OrderDate)` instead of `FORMAT([Order Details].OrderDate, 'yyyy-MM')`. This can result in aggregating data in an unintentionally granular way, especially when dealing with multiple years. Additionally, the generated query groups by ProductName instead of ProductID, which could lead to issues if there are products with the same name.","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month, 
    products.ProductID, 
    products.ProductName, 
    SUM([Order Details].Quantity) AS TotalSold 
FROM 
    [Order Details] 
JOIN 
    products ON [Order Details].ProductID = products.ProductID 
WHERE 
    OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) 
GROUP BY 
    Month, products.ProductID 
ORDER BY 
    Month, products.ProductID;
```","Both the generated query and the ground truth query output the monthly sales trend for each product over the last year. Despite slight differences in date formatting and ordering, they correctly join the 'Order Details' and 'products' tables, filter by the last year, and group by month and product ID to sum the quantities sold.",Base,FT
Find the average discount provided per order.,SELECT AVG([Order Details].Discount) AS AvgDiscount FROM [Order Details];,SELECT AVG(Discount) AS AverageDiscount FROM [Order Details];,"Both queries calculate the average discount from the 'Order Details' table, giving the correct result. Minor differences in column label naming ('AverageDiscount' vs. 'AvgDiscount') don't affect the correctness of the output.","```sql
SELECT AVG(Discount) AS AverageDiscount
FROM [Order Details]
GROUP BY OrderID;
```","The generated SQL query groups by OrderID, which calculates the average discount per order separately, rather than calculating the overall average discount across all orders. The ground truth query calculates the average discount without grouping.",FT,Base
What is the average quantity per unit for products supplied by each supplier?,"SELECT s.SupplierID, s.SupplierName, AVG(CAST(p.QuantityPerUnit AS DECIMAL)) AS AverageQuantityPerUnit FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID, s.SupplierName;","SELECT suppliers.SupplierName, AVG(LENGTH(products.QuantityPerUnit) - LENGTH(REPLACE(products.QuantityPerUnit, ' ', '')) + 1) AS AvgQuantityPerUnit FROM products JOIN suppliers ON products.SupplierID = suppliers.SupplierID GROUP BY suppliers.SupplierName;","The generated SQL query attempts to calculate the average quantity per unit by counting spaces in the QuantityPerUnit string, which is not meaningful for this problem. The ground truth query correctly converts QuantityPerUnit to a numeric form to calculate the average. Therefore, the generated query does not correctly answer the question.","```sql
SELECT 
    SupplierID, 
    AVG(QuantityPerUnit) AS AverageQuantityPerUnit
FROM 
    products
GROUP BY 
    SupplierID;
```","The generated SQL query does not join the suppliers table, so it misses out the SupplierName which is part of the user question. Additionally, the ground truth query casts QuantityPerUnit as DECIMAL, which ensures proper averaging, while the generated query does not.",Both,None
Which product has the highest cumulative discount in terms of dollar value?,"SELECT p.ProductID, p.ProductName, SUM(od.Discount * od.UnitPrice * od.Quantity) AS TotalDiscount FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID, p.ProductName ORDER BY TotalDiscount DESC LIMIT 1;","SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.UnitPrice * od.Discount) AS TotalDiscountValue FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID, p.ProductName ORDER BY TotalDiscountValue DESC LIMIT 1;",Both generated and ground truth SQL queries calculate the total discount value per product and order the results to get the product with the highest cumulative discount. The column labels and calculation formulas are equivalent in functionality.,"```sql
SELECT od.ProductID, SUM(od.Quantity * od.Discount) AS TotalDiscount
FROM [Order Details] od
GROUP BY od.ProductID
ORDER BY TotalDiscount DESC
LIMIT 1;
```","The generated SQL query does not correctly calculate the total discount in dollar value. It multiplies Quantity by Discount directly, which doesn't account for the UnitPrice. The ground truth SQL query correctly multiplies Discount by UnitPrice and then by Quantity to get the dollar value of the cumulative discount.",FT,Base
What is the correlation between freight cost and fulfillment time?,"SELECT Freight, DATEDIFF(ShippedDate, OrderDate) AS FulfillmentTime FROM orders;","SELECT orders.Freight, DATEDIFF(orders.ShippedDate, orders.OrderDate) AS FulfillmentTime FROM orders;",The generated SQL query only selects the Freight and calculates FulfillmentTime but does not compute the correlation between Freight and FulfillmentTime.,"```sql
SELECT 
    CORR(Freight, DATEDIFF(ShippedDate, OrderDate) AS Correlation
FROM 
    orders;
```","The generated SQL query attempts to directly calculate the correlation using the CORR function, which is correct in terms of what the user asks for. However, the provided ground truth query does not compute the correlation but simply extracts the two columns needed to compute it (Freight and FulfillmentTime). Thus, the generated query would answer the user’s question correctly but the ground truth query does not, indicating a possible mistake in the provided ground truth.",Both,None
Which product had the highest sales revenue in 2022?,"SELECT products.ProductID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS product_sales FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY products.ProductID ORDER BY product_sales DESC LIMIT 1","SELECT products.ProductID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY products.ProductID ORDER BY total_sales DESC LIMIT 1","The generated SQL query is missing the JOIN on the 'orders' table in the WHERE clause. The correct JOIN condition should explicitly connect the 'orders' table with '[Order Details]', similar to the ground truth query.","```sql
SELECT products.ProductID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales_revenue
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31'
GROUP BY products.ProductID
ORDER BY total_sales_revenue DESC
LIMIT 1;
```",The generated SQL query is incorrect because it does not join the 'products' table properly to fetch the 'ProductID' and does not have product name information if necessary. The ground truth SQL query correctly joins the 'products' and 'orders' tables to calculate the revenue.,Both,None
What is the inventory turnover ratio for the past month?,SELECT SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID WHERE EXTRACT(MONTH FROM o.OrderDate) = EXTRACT(MONTH FROM CURRENT_DATE - INTERVAL '1 MONTH');,"SELECT SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.OrderID IN (SELECT DISTINCT OrderID FROM orders WHERE OrderDate >= DATEADD(month, -1, GETDATE()));","The generated SQL query uses GETDATE() and DATEADD functions to filter OrderDate for the past month, which is syntactically valid but assumes a specific database's date functions. The ground truth uses standard SQL 'EXTRACT' and 'INTERVAL' for date extraction and comparison. Additionally, the generated query does not join the 'orders' table directly, relying on an IN subquery. Hence, while both approaches attempt to answer the question, their logic and readability differ.","```sql
SELECT 
    SUM([Order Details].Quantity * [Order Details].UnitPrice) / AVG(products.UnitsInStock) AS InventoryTurnoverRatio
FROM 
    products
JOIN 
    [Order Details] ON products.ProductID = [Order Details].ProductID
WHERE 
    [Order Details].OrderID IN (SELECT OrderID FROM orders WHERE OrderDate >= DATEADD(MONTH, -1, GETDATE()))
```","The generated query uses GETDATE() and DATEADD to filter orders from the past month, while the ground truth query uses EXTRACT and an INTERVAL to specify the previous month. Depending on the current date, these approaches may not yield the same results, especially around month boundaries. Additionally, the ground truth query's use of EXTRACT ensures it captures the entire past month more accurately.",Both,None
What is the retention rate of customers comparing the first half of 2023 to the previous year?,(SELECT COUNT(DISTINCT o.CustomerID) FROM orders o WHERE o.OrderDate BETWEEN '2023-01-01' AND '2023-06-30') / (SELECT COUNT(DISTINCT o.CustomerID) FROM orders o WHERE o.OrderDate < '2023-01-01') AS customer_retention_rate,(SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-06-30') / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-06-30') AS customer_retention_rate,"The generated query calculates the retention rate by comparing the distinct customers in the first half of 2023 to the first half of 2022. However, the ground truth query calculates the retention rate by comparing the distinct customers in the first half of 2023 to all customers before 2023. Thus, the approach to calculating retention is different in the two queries.","```sql
SELECT 
  (SELECT COUNT(DISTINCT orders.CustomerID) 
   FROM orders 
   WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-06-30') / 
  (SELECT COUNT(DISTINCT orders.CustomerID) 
   FROM orders 
   WHERE orders.OrderDate < '2023-01-01') AS customer_retention_rate;
```","The generated SQL query and the ground truth SQL query are essentially equivalent. Both queries employ a similar logic: they count the distinct customer IDs in the orders table for the specified date ranges and then compute the ratio. The only difference is in the aliasing, where the generated query uses explicit table references whereas the ground truth does not, but this does not affect the functionality or correctness of the query.",Base,FT
What is the hire date of the oldest employee?,"SELECT e.FirstName, e.LastName, e.HireDate FROM employees e ORDER BY e.HireDate ASC LIMIT 1","SELECT e.EmployeeID, e.HireDate FROM employees e ORDER BY e.BirthDate ASC LIMIT 1;",The generated query orders employees by BirthDate which does not correctly answer the question. The correct approach is to identify the oldest employee by HireDate.,"```sql
SELECT HireDate 
FROM employees 
WHERE BirthDate = (SELECT MIN(BirthDate) FROM employees);
```","The generated SQL query finds the hire date of the employee with the earliest birth date, not the hire date of the oldest employee in terms of hire date. The ground truth query correctly orders the employees by HireDate and takes the first entry.",Both,None
Which supplier has the highest average lead time?,"SELECT s.CompanyName, AVG(DATEDIFF(o.ShippedDate, o.OrderDate)) AS AverageLeadTime FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON od.OrderID = o.OrderID GROUP BY s.CompanyName ORDER BY AverageLeadTime DESC LIMIT 1;","SELECT suppliers.SupplierID, suppliers.CompanyName, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AvgLeadTime FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY suppliers.SupplierID, suppliers.CompanyName ORDER BY AvgLeadTime DESC;","The generated SQL query does not include the LIMIT 1 clause, which ensures that only the supplier with the highest average lead time is returned. Without this limit, the query would return a list of suppliers sorted by average lead time, but it wouldn't directly answer the question of which supplier has the highest average lead time.","```sql
SELECT suppliers.CompanyName, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AvgLeadTime
FROM suppliers
JOIN products ON suppliers.SupplierID = products.SupplierID
JOIN orders ON products.ProductID = [Order Details].ProductID
GROUP BY suppliers.SupplierID
ORDER BY AvgLeadTime DESC
LIMIT 1;
```",The generated SQL query groups by suppliers.SupplierID instead of suppliers.CompanyName and does not correctly join the [Order Details] table. The Ground Truth query correctly associates the order details with the orders using the OrderID.,Both,None
Identify employees whose orders had the highest average discount applied.,"SELECT e.EmployeeID, AVG(od.Discount) AS AvgDiscount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY AvgDiscount DESC;","```sql
SELECT e.EmployeeID, AVG(od.Discount) AS AvgDiscount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY AvgDiscount DESC;
```",The generated SQL query correctly identifies the employees whose orders had the highest average discount applied. It performs the necessary joins and calculates the average discount before ordering the results correctly.,"```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, AVG(od.Discount) AS AverageDiscount
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID
ORDER BY AverageDiscount DESC
LIMIT 1;
```","The generated query includes columns FirstName and LastName and limits the result to one record, which is not a requirement stated in the ground truth query. Additionally, the ground truth query does not include these additional columns.",FT,Base
How many orders were shipped but not yet delivered?,SELECT OrderID FROM orders WHERE ShippedDate IS NOT NULL AND RequiredDate IS NULL;,SELECT O.OrderID FROM orders O WHERE O.ShippedDate IS NOT NULL AND O.RequiredDate > O.ShippedDate;,"The generated query checks if the RequiredDate is greater than the ShippedDate, which does not directly indicate undelivered orders. The ground truth query correctly identifies orders that have been shipped but not yet delivered by checking if the RequiredDate is NULL.","```sql
SELECT COUNT(*) AS UnfulfilledOrders
FROM orders
WHERE ShippedDate IS NOT NULL AND RequiredDate > ShippedDate;
```","The generated query is incorrect because it checks for orders where 'RequiredDate' is greater than 'ShippedDate', while the user question asks for orders that have been shipped but not yet delivered. The ground truth query correctly identifies such orders by checking if 'RequiredDate' is NULL after shipment.",Both,None
Which orders have the highest discounts applied?,"SELECT orders.OrderID, MAX([Order Details].Discount) AS MaxDiscount FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY orders.OrderID ORDER BY MaxDiscount DESC LIMIT 1;","SELECT o.OrderID, od.Discount FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID ORDER BY od.Discount DESC;","The generated SQL query does not match the user's request. The user's question asks for the orders with the highest discounts applied, which implies finding the order that received the maximum discount. The ground truth SQL query correctly aggregates the discounts per order and orders them, returning the order with the single highest discount. The generated SQL query lists all orders and discounts and sorts them, but does not aggregate and limit results to the highest discount, hence it does not correctly answer the user question.","```sql
SELECT OrderID, SUM(Discount) AS TotalDiscount
FROM [Order Details]
GROUP BY OrderID
ORDER BY TotalDiscount DESC;
```","The generated SQL query calculates the total discount for each order and orders them by the total discount. The ground truth query finds the order with the single highest discount applied to any product within that order, not the sum of discounts. Additionally, the ground truth also limits the result to the single order with the highest individual discount applied.",Both,None
What is the average quantity of products ordered per order?,SELECT AVG([Order Details].Quantity) AS AverageQuantity FROM [Order Details],SELECT AVG(Quantity) AS AverageQuantityPerOrder FROM [Order Details];,Both the generated SQL query and the ground truth SQL query calculate the average quantity of products ordered across all orders from the 'Order Details' table. The slight difference in column alias naming does not affect the correctness of the query.,"```sql
SELECT AVG(SUM([Order Details].Quantity)) AS Average_Quantity_Per_Order
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY orders.OrderID;
```","The generated SQL query is incorrect because it attempts to use the SUM function within the AVG function, which is unnecessary and misleading. The correct approach is to directly calculate the average of the quantities from the [Order Details] table, as shown in the ground truth SQL query.",FT,Base
What is the average shipping time for orders shipped to a specific country in the current month?,"SELECT AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgShippingTime FROM orders WHERE DATE_FORMAT(OrderDate, '%Y-%m') = DATE_FORMAT(CURDATE(), '%Y-%m') AND ShipCountry = 'specified_country';","SELECT AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgShippingTime FROM orders WHERE DATE_FORMAT(OrderDate, '%Y-%m') = DATE_FORMAT(NOW(), '%Y-%m') AND ShipCountry = 'chosen_country';","The generated SQL query correctly calculates the average shipping time for orders shipped to a specific country in the current month. Both the generated and ground truth queries use the same logic, filtering criteria, and calculation method, differing only in the function used to get the current date (NOW() vs. CURDATE()) and the placeholder for the country name ('chosen_country' vs. 'specified_country'). These differences are acceptable and do not impact the correctness of the query.","```sql
SELECT AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AverageShippingTime
FROM orders
WHERE MONTH(orders.ShippedDate) = MONTH(CURRENT_DATE())
  AND YEAR(orders.ShippedDate) = YEAR(CURRENT_DATE())
  AND orders.ShipCountry = 'SpecificCountry';
```","The generated query filters based on the shipping date being in the current month, while the ground truth query filters based on the order date being in the current month. Additionally, the ground truth query uses 'specified_country' rather than 'SpecificCountry'.",FT,Base
Which customers have purchased more than 5 different products?,"SELECT customers.CustomerID, customers.CompanyName FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY customers.CustomerID, customers.CompanyName HAVING COUNT(DISTINCT [Order Details].ProductID) > 5","```sql
SELECT customers.CustomerID, COUNT(DISTINCT [Order Details].ProductID) AS num_different_products FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN customers ON orders.CustomerID = customers.CustomerID GROUP BY customers.CustomerID HAVING num_different_products > 5
```",The generated query correctly identifies customers who have purchased more than 5 different products by using the COUNT(DISTINCT [Order Details].ProductID) and HAVING clause. The inclusion of the CustomerID alone instead of also including CompanyName does not affect the correctness of the answer to the question.,"```sql
SELECT orders.CustomerID
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY orders.CustomerID
HAVING COUNT(DISTINCT [Order Details].ProductID) > 5;
```",The generated SQL query is missing information. It only selects the CustomerID from the orders table and does not join with the customers table to provide more accurate customer information like the ground truth query does. The ground truth query also includes the CompanyName.,FT,Base
